epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,7645.43,1.34349,0.59559,0.95244,0.90645,0.83212,0.88255,0.54041,1.31633,inf,0.9602,0.0003466,0.0003466,0.0003466
68,7737.2,1.34386,0.59506,0.95193,0.90577,0.83357,0.88276,0.54111,1.31621,inf,0.96007,0.0003367,0.0003367,0.0003367
69,7829.13,1.3476,0.59463,0.95207,0.90742,0.83272,0.88279,0.54115,1.31643,inf,0.96042,0.0003268,0.0003268,0.0003268
70,7920.13,1.34057,0.59251,0.95188,0.90659,0.83423,0.88318,0.54155,1.31635,inf,0.96021,0.0003169,0.0003169,0.0003169
71,8009.82,1.34537,0.59521,0.95382,0.90562,0.83471,0.88306,0.54148,1.31685,inf,0.96017,0.000307,0.000307,0.000307
72,8100.32,1.34381,0.59304,0.95156,0.90783,0.83333,0.88354,0.54218,1.31623,inf,0.95978,0.0002971,0.0002971,0.0002971
73,8190.2,1.33653,0.58939,0.95037,0.90737,0.83382,0.88301,0.54167,1.31624,inf,0.95989,0.0002872,0.0002872,0.0002872
74,8280.83,1.33584,0.5891,0.94961,0.90794,0.8337,0.88336,0.54172,1.31528,inf,0.95973,0.0002773,0.0002773,0.0002773
75,8372.42,1.34014,0.59097,0.95088,0.90827,0.83503,0.88377,0.5424,1.31481,inf,0.95952,0.0002674,0.0002674,0.0002674
76,8469.8,1.33999,0.59012,0.9517,0.90669,0.83574,0.88399,0.54273,1.31488,inf,0.95949,0.0002575,0.0002575,0.0002575
77,8606.33,1.33485,0.58803,0.95055,0.90573,0.83572,0.88362,0.54237,1.31504,inf,0.95965,0.0002476,0.0002476,0.0002476
78,8732.12,1.34181,0.5886,0.95099,0.90598,0.8352,0.8836,0.54159,1.31558,inf,0.95991,0.0002377,0.0002377,0.0002377
79,8859.49,1.33599,0.58656,0.94927,0.90497,0.83713,0.88343,0.5417,1.31556,inf,0.95979,0.0002278,0.0002278,0.0002278
80,8982.13,1.334,0.58605,0.94888,0.90585,0.83598,0.88308,0.5416,1.31646,inf,0.96024,0.0002179,0.0002179,0.0002179
81,9100.32,1.33771,0.58834,0.94918,0.90577,0.83583,0.8832,0.54164,1.31625,inf,0.96031,0.000208,0.000208,0.000208
82,9220.42,1.33254,0.58465,0.94962,0.90762,0.83411,0.88329,0.54153,1.31673,inf,0.96045,0.0001981,0.0001981,0.0001981
83,9326.72,1.32936,0.58408,0.94897,0.90667,0.83537,0.88329,0.54203,1.31683,inf,0.96024,0.0001882,0.0001882,0.0001882
84,9425.2,1.32965,0.58328,0.94918,0.90625,0.83494,0.88312,0.54155,1.31709,inf,0.96035,0.0001783,0.0001783,0.0001783
85,9523.33,1.32888,0.58456,0.94796,0.90764,0.83407,0.88326,0.54144,1.31705,inf,0.96042,0.0001684,0.0001684,0.0001684
86,9621.32,1.3257,0.5808,0.94788,0.90701,0.83418,0.88279,0.54133,1.31726,inf,0.96062,0.0001585,0.0001585,0.0001585
87,9719.31,1.32427,0.5798,0.94659,0.90778,0.83433,0.88319,0.5416,1.31692,inf,0.9606,0.0001486,0.0001486,0.0001486
88,9817.23,1.33165,0.58377,0.94905,0.90664,0.83507,0.88276,0.54123,1.31702,inf,0.96048,0.0001387,0.0001387,0.0001387
89,9916.33,1.3286,0.58208,0.94799,0.90693,0.83511,0.8827,0.54129,1.3166,inf,0.96025,0.0001288,0.0001288,0.0001288
90,10015.5,1.3238,0.58041,0.94568,0.9066,0.83576,0.88302,0.54162,1.31615,inf,0.9602,0.0001189,0.0001189,0.0001189
91,10123.5,1.31838,0.57974,0.96887,0.90773,0.83367,0.88274,0.54071,1.31787,inf,0.96143,0.000109,0.000109,0.000109
92,10220.2,1.31172,0.57227,0.96453,0.90751,0.83336,0.88231,0.54005,1.31851,inf,0.96187,9.91e-05,9.91e-05,9.91e-05
93,10316.9,1.308,0.56905,0.96503,0.90577,0.83457,0.88233,0.53992,1.31876,inf,0.9619,8.92e-05,8.92e-05,8.92e-05
94,10413.8,1.30591,0.56783,0.96394,0.90574,0.83437,0.88224,0.53975,1.319,inf,0.96197,7.93e-05,7.93e-05,7.93e-05
95,10509.1,1.30484,0.56688,0.96356,0.90541,0.83449,0.8822,0.53968,1.31913,inf,0.96198,6.94e-05,6.94e-05,6.94e-05
96,10606.4,1.30311,0.56572,0.96265,0.90537,0.83438,0.88212,0.53995,1.31899,inf,0.962,5.95e-05,5.95e-05,5.95e-05
